"ID","Question","Evidence","Observation","Classification","Conclusion"
"D10-COR-001","What computer name is recorded?","SYSTEM hive","ComputerName recorded as DESKTOP-PCML6D5.","Established Fact","The acquired SYSTEM snapshot records DESKTOP-PCML6D5 as the computer name."
"D10-COR-002","Was a SanDisk USB device recorded?","SYSTEM USBSTOR","SanDisk Ultra USB storage instance was present.","Established Fact","Windows recorded the identified SanDisk Ultra device instance."
"D10-COR-003","Which drive letter was associated with the identified SanDisk instance?","SYSTEM USBSTOR + MountedDevices","MountedDevices data associated the identified SanDisk Ultra instance with D:.","Correlation","The acquired Registry evidence supports an association between the identified SanDisk instance and D:."
"D10-COR-004","Was E: the identified SanDisk Ultra?","SYSTEM MountedDevices","E: was associated with a separate Generic Mass-Storage instance.","Established Fact","Within the examined snapshot, E: was associated with a Generic Mass-Storage instance rather than the identified SanDisk Ultra instance."
"D10-COR-005","Who physically connected the SanDisk device?","SYSTEM Registry artifacts","Registry artifacts record device and volume associations but do not identify the physical operator.","Not Established","Physical-user attribution cannot be established from the examined Registry evidence alone."
"D10-COR-006","Were files copied to the SanDisk device?","SYSTEM Registry artifacts","No file-transfer evidence was established by the examined Registry artifacts.","Not Established","File copying to the device is not established."
"D10-COR-007","Was confidential information exfiltrated?","Registry evidence","Registry evidence alone did not establish file transfer or exfiltration.","Not Established","Data exfiltration is not established."
"D10-COR-008","What does NativePushService establish?","SYSTEM Services","NativePushService referenced a user-profile executable path and was configured for LocalSystem.","Investigative Lead","The configuration is appropriate for further correlation but does not independently establish maliciousness or execution."
"D10-COR-009","What user profile is associated with SID ending 1001?","SOFTWARE ProfileList","SID S-1-5-21-272426600-1996297137-4257108005-1001 mapped to C:\Users\Ifean.","Established Fact","The acquired SOFTWARE snapshot records the SID-to-profile association."
"D10-COR-010","Does the SID/profile association prove Ifean performed a particular action?","SOFTWARE ProfileList","ProfileList identifies a profile association rather than a physical actor.","Not Established","Specific human attribution is not established."
"D10-COR-011","Was update.exe present in the examined machine Run/RunOnce locations?","SOFTWARE Run and RunOnce locations","No exact executable-name reference to update.exe was identified in the four examined machine locations.","Scoped Negative","No update.exe reference was identified within the examined machine Run/RunOnce scope."
"D10-COR-012","Was update.exe present in the examined user Run/RunOnce locations?","NTUSER.DAT Run and RunOnce","No exact executable-name reference to update.exe was identified.","Scoped Negative","No update.exe reference was identified within the examined user Run/RunOnce scope."
"D10-COR-013","Was the hypothetical OneDriveUpdate persistence entry found?","NTUSER.DAT","The acquired user Run key contained OneDrive and other startup entries, but not the hypothetical OneDriveUpdate to update.exe entry.","Scoped Negative","The knowledge-check example was not identified in the acquired Day 10 evidence."
"D10-COR-014","What does RunMRU establish?","NTUSER.DAT RunMRU","RunMRU contained prefetch, MRT, and firefox.exe -P with relative MRU ordering.","Established Fact","These strings and their relative MRU ordering were recorded in the acquired user hive."
"D10-COR-015","Does RunMRU prove successful command execution?","NTUSER.DAT RunMRU","MRU data records strings but does not independently demonstrate process execution or outcome.","Not Established","Successful execution is not established by RunMRU alone."
"D10-COR-016","Was Board-Financial-Plan-2027.xlsx found in the targeted NTUSER search?","NTUSER.DAT targeted search","0 matches were returned.","Scoped Negative","No readable match was identified by the targeted NTUSER search."
"D10-COR-017","What does the ShellBag evidence establish?","UsrClass.dat BagMRU","BagMRU contained 62 immediate subkeys, 65 values, MRUListEx, and numbered entries 0 through 61.","Established Fact","Substantial Shell-state data was present in the acquired UsrClass snapshot."
"D10-COR-018","What do D:, E:, F:, and G: ShellBag fragments establish?","UsrClass.dat best-effort string extraction","Readable drive-letter fragments were recovered from binary Shell Item data.","Investigative Lead","The fragments support further volume-related investigation but do not identify physical devices or prove file transfer."
"D10-COR-019","Was SanDisk found as readable text in the targeted BagMRU search?","UsrClass.dat BagMRU targeted search","0 matches were returned.","Scoped Negative","No readable SanDisk string was identified by the targeted BagMRU search method."
"D10-COR-020","Was Board-Financial-Plan-2027.xlsx found in the targeted BagMRU search?","UsrClass.dat BagMRU targeted search","0 matches were returned.","Scoped Negative","No readable match was identified by the targeted BagMRU search method."
"D10-COR-021","Did analysis modify the preserved source Registry evidence?","Acquisition hashes + post-analysis hashes","All six source snapshots retained their acquisition SHA-256 values.","Established Fact","No source-evidence integrity discrepancy was identified."
