"ID","Claim","Classification","Basis"
"D07-F001","Invoice-September.docm was present in David's Downloads directory","Established Fact","Filesystem evidence records the document at 09:19:41"
"D07-F002","WINWORD.EXE executed with Invoice-September.docm in its command line","Established Fact","Process evidence records WINWORD.EXE PID 4216 and the document path"
"D07-F003","WINWORD.EXE was recorded as the parent of powershell.exe PID 5368","Established Fact","Process evidence records the parent-child relationship"
"D07-F004","update.exe was created four seconds after PowerShell execution was observed","Established Fact","Normalized filesystem and process timestamps"
"D07-F005","powershell.exe was recorded as the parent of update.exe","Established Fact","Process evidence records update.exe PID 5844 with powershell.exe as parent"
"D07-F006","PowerShell PID 5368 was associated with traffic to 185.XX.XX.24:443","Established Fact","Network evidence records process name and PID"
"D07-C001","The document-related execution and external network activity are related","Correlation","Same PowerShell PID plus close temporal and process relationships"
"D07-H001","Invoice-September.docm triggered malicious execution","Hypothesis","Sequence is suspicious, but document execution mechanism and intent are not yet established"
"D07-H002","The external connection was command-and-control traffic","Hypothesis","External communication exists, but its purpose and content remain unverified"
"D07-H003","Confidential information was exfiltrated over the external connection","Hypothesis","Bytes were transferred, but no evidence currently identifies their content as confidential data"
"D07-F007","A SanDisk Ultra USB device was recorded as connected at 09:24:03","Established Fact","USB evidence records the device, serial number, drive letter and timestamp"
"D07-C002","USB connection occurred 98 seconds before spreadsheet access","Correlation","Normalized timeline interval"
"D07-H004","Board-Financial-Plan-2027.xlsx was copied to the USB device","Hypothesis","Temporal proximity exists, but no source-to-destination copy evidence has been established"
"D07-A001","David personally copied the spreadsheet to the USB device","Unproven Attribution","Activity is associated with David's technical context but not yet with demonstrated human intent/action"
"D07-A002","David personally deleted Board-Financial-Plan-2027.xlsx","Unproven Attribution","Deletion is recorded, but the available evidence does not establish the human actor"
